Sr No,Symbol,Company Name,"Market capitalization as on March 31, 2022
(Rs in Lakhs)",,,,,,
222,L&TFH,L&T Finance Holdings Limited,1994073,,,,,,
223,GRINDWELL,Grindwell Norton Limited,1992905,,,,,,
224,PFIZER,Pfizer Limited,1989180,,,,,,
225,EMAMILTD,Emami Limited,1987643,,,,,,
226,PRESTIGE,Prestige Estates Projects Limited,1979455,,,,,,
227,LICHSGFIN,LIC Housing Finance Limited,1974451,,,,,,
228,M&MFIN,Mahindra & Mahindra Financial Services Limited,1966346,,,,,,
229,PHOENIXLTD,The Phoenix Mills Limited,1963602,,,,,,
230,SUNTV,Sun TV Network Limited,1930424,,,,,,
231,INDIANB,Indian Bank,1916734,,,,,,
232,SUNDRMFAST,Sundram Fasteners Limited,1890735,,,,,,
233,BANKINDIA,Bank of India,1881485,,,,,,
234,JKCEMENT,JK Cement Limited,1878623,,,,,,
235,NIACL,The New India Assurance Company Limited,1839992,,,,,,
236,RAMCOCEM,The Ramco Cements Limited,1814844,,,,,,
237,DCMSHRIRAM,DCM Shriram Limited,1762304,,,,,,
238,CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,1756813,,,,,,
239,SKFINDIA,SKF India Limited,1747335,,,,,,
240,SANOFI,Sanofi India Limited,1727170,,,,,,
241,BHEL,Bharat Heavy Electricals Limited,1718398,,,,,,
242,BCG,Brightcom Group Limited,1711750,,,,,,
243,SFL,Sheela Foam Limited,1695105,,,,,,
244,APTUS,Aptus Value Housing Finance India Limited,1692255,,,,,,
245,AFFLE,Affle (India) Limited,1679030,,,,,,
246,METROBRAND,Metro Brands Limited,1662168,,,,,,
247,KPITTECH,KPIT Technologies Limited,1647741,,,,,,
248,BLUEDART,Blue Dart Express Limited,1628270,,,,,,
249,KAJARIACER,Kajaria Ceramics Limited,1622767,,,,,,
250,TIMKEN,Timken India Limited,1610508,,,,,,
251,CENTRALBK,Central Bank of India,1592952,,,,,,
252,CENTURYPLY,Century Plyboards (India) Limited,1591425,,,,,,
253,GILLETTE,Gillette India Limited,1580269,,,,,,
254,SUVENPHAR,Suven Pharmaceuticals Limited,1574357,,,,,,
255,AJANTPHARM,Ajanta Pharma Limited,1566946,,,,,,
256,GODREJIND,Godrej Industries Limited,1561751,,,,,,
257,HAPPSTMNDS,Happiest Minds Technologies Limited,1551834,,,,,,
258,CDSL,Central Depository Services (India) Limited,1546966,,,,,,
259,ENDURANCE,Endurance Technologies Limited,1539977,,,,,,
260,ABSLAMC,Aditya Birla Sun Life AMC Limited,1537488,,,,,,
261,AIAENG,AIA Engineering Limited,1530537,,,,,,
262,NH,Narayana Hrudayalaya Ltd.,1523203,,,,,,
263,IRB,IRB Infrastructure Developers Limited,1517299,,,,,,
264,CARBORUNIV,Carborundum Universal Limited,1514548,,,,,,
265,POWERINDIA,Hitachi Energy India Limited,1492365,,,,,,
266,GRINFRA,G R Infraprojects Limited,1483064,,,,,,
267,IIFLWAM,Iifl Wealth Management Limited,1480445,,,,,,
268,GSPL,Gujarat State Petronet Limited,1461590,,,,,,
269,ALKYLAMINE,Alkyl Amines Chemicals Limited,1459931,,,,,,
270,APLLTD,Alembic Pharmaceuticals Limited,1457712,,,,,,
271,ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,1447549,,,,,,
272,UCOBANK,UCO Bank,1416781,,,,,,
273,NUVOCO,Nuvoco Vistas Corporation Limited,1410588,,,,,,
274,NATCOPHARM,Natco Pharma Limited,1380126,,,,,,
275,BASF,BASF India Limited,1338782,,,,,,
276,CREDITACC,CREDITACCESS GRAMEEN LIMITED,1324396,,,,,,
277,INDIAMART,Indiamart Intermesh Limited,1321200,,,,,,
278,GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,1312434,,,,,,
279,EXIDEIND,Exide Industries Limited,1284350,,,,,,
280,MOTILALOFS,Motilal Oswal Financial Services Limited,1280518,,,,,,
281,BSE,BSE Limited,1276929,,,,,,
282,ANGELONE,Angel One Limited,1273331,,,,,,
283,INTELLECT,Intellect Design Arena Limited,1272541,,,,,,
284,BSOFT,BIRLASOFT LIMITED,1271567,,,,,,
285,TV18BRDCST,TV18 Broadcast Limited,1269484,,,,,,
286,KIOCL,KIOCL Limited,1268377,,,,,,
287,UTIAMC,UTI Asset Management Company Limited,1262583,,,,,,
288,VTL,Vardhman Textiles Limited,1259447,,,,,,
289,ALOKINDS,Alok Industries Limited,1258688,,,,,,
290,GLENMARK,Glenmark Pharmaceuticals Limited,1247183,,,,,,
291,BAJAJELEC,Bajaj Electricals Limited,1233904,,,,,,
292,FINEORG,Fine Organic Industries Limited,1228131,,,,,,
293,JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,1217116,,,,,,
294,APOLLOTYRE,Apollo Tyres Limited,1213043,,,,,,
295,RATNAMANI,Ratnamani Metals & Tubes Limited,1211821,,,,,,
296,MEDPLUS,Medplus Health Services Limited,1210356,,,,,,
297,BRIGADE,Brigade Enterprises Limited,1190112,,,,,,
298,AMBER,Amber Enterprises India Limited,1187114,,,,,,
299,RADICO,Radico Khaitan Limited,1186956,,,,,,
300,PVR,PVR Limited,1172537,,,,,,
301,CHOLAHLDNG,Cholamandalam Financial Holdings Limited,1161284,,,,,,
302,TTKPRESTIG,TTK Prestige Limited,1145991,,,,,,
303,KEI,KEI Industries Limited,1136230,,,,,,
304,REDINGTON,Redington (India) Limited,1132721,,,,,,
305,CAMS,Computer Age Management Services Limited,1132531,,,,,,
306,MAHABANK,Bank of Maharashtra,1123993,,,,,,
307,KIMS,Krishna Institute of Medical Sciences Limited,1106944,,,,,,
308,HINDCOPPER,Hindustan Copper Limited,1099990,,,,,,
309,IIFL,IIFL Finance Limited,1084134,,,,,,
310,HFCL,HFCL Limited,1083372,,,,,,
311,SHRIRAMCIT,Shriram City Union Finance Limited,1081680,,,,,,
312,CGCL,Capri Global Capital Limited,1080624,,,,,,
313,SJVN,SJVN Limited,1078729,,,,,,
314,VIPIND,VIP Industries Limited,1054897,,,,,,
315,LXCHEM,Laxmi Organic Industries Limited,1053069,,,,,,
316,CHEMPLASTS,Chemplast Sanmar Limited,1051666,,,,,,
317,ASAHIINDIA,Asahi India Glass Limited,1047718,,,,,,
318,METROPOLIS,Metropolis Healthcare Limited,1041736,,,,,,
319,LAXMIMACH,Lakshmi Machine Works Limited,1027507,,,,,,
320,CYIENT,Cyient Limited,1023139,,,,,,
321,JSL,Jindal Stainless Limited,1021405,,,,,,
322,GALAXYSURF,Galaxy Surfactants Limited,1015566,,,,,,
323,BLUESTARCO,Blue Star Limited,1013270,,,,,,
324,BDL,Bharat Dynamics Limited,1006764,,,,,,
325,CESC,CESC Limited,1005445,,,,,,
326,BALRAMCHIN,Balrampur Chini Mills Limited,998572,,,,,,
327,CASTROLIND,Castrol India Limited,998519,,,,,,
328,MASTEK,Mastek Limited,996638,,,,,,
329,RHIM,RHI MAGNESITA INDIA LIMITED,986827,,,,,,
330,ASTERDM,Aster DM Healthcare Limited,986538,,,,,,
331,IDFC,IDFC Limited,985799,,,,,,
332,GRAPHITE,Graphite India Limited,982446,,,,,,
333,QUESS,Quess Corp Limited,975332,,,,,,
334,KEC,KEC International Limited,974236,,,,,,
335,ROUTE,ROUTE MOBILE LIMITED,969688,,,,,,
336,EIHOTEL,EIH Limited,967126,,,,,,
337,MANAPPURAM,Manappuram Finance Limited,961081,,,,,,
338,FINPIPE,Finolex Industries Limited,959568,,,,,,
339,ZYDUSWELL,Zydus Wellness Limited,955214,,,,,,
340,CENTURYTEX,Century Textiles & Industries Limited,954551,,,,,,
341,CUB,City Union Bank Limited,953325,,,,,,
342,SAPPHIRE,Sapphire Foods India Limited,941828,,,,,,
343,BALAMINES,Balaji Amines Limited,941411,,,,,,
344,ERIS,Eris Lifesciences Limited,936151,,,,,,
345,VGUARD,V-Guard Industries Limited,930882,,,,,,
346,SAREGAMA,Saregama India Limited,930740,,,,,,
347,SHYAMMETL,Shyam Metalics and Energy Limited,924285,,,,,,
348,JSLHISAR,Jindal Stainless (Hisar) Limited,918612,,,,,,
349,AMARAJABAT,Amara Raja Batteries Limited,916238,,,,,,
350,POLYMED,Poly Medicure Limited,910574,,,,,,
351,BIRLACORPN,Birla Corporation Limited,910357,,,,,,
352,ITI,ITI Limited,900383,,,,,,
353,WELSPUNIND,Welspun India Limited,897651,,,,,,
354,STLTECH,Sterlite Technologies Limited,892765,,,,,,
355,NETWORK18,Network18 Media & Investments Limited,891477,,,,,,
356,ELGIEQUIP,Elgi Equipments Limited,885919,,,,,,
357,DELTACORP,Delta Corp Limited,882083,,,,,,
358,ALLCARGO,Allcargo Logistics Limited,880573,,,,,,
359,FSL,Firstsource Solutions Limited,871587,,,,,,
361,AKZOINDIA,Akzo Nobel India Limited,869160,,,,,,
362,NLCINDIA,NLC India Limited,867341,,,,,,
363,GODREJAGRO,Godrej Agrovet Limited,849427,,,,,,
364,LATENTVIEW,Latent View Analytics Limited,847284,,,,,,
365,FACT,Fertilizers and Chemicals Travancore Limited,847017,,,,,,
366,SUZLON,Suzlon Energy Limited,843396,,,,,,
367,CANFINHOME,Can Fin Homes Limited,840802,,,,,,
368,NIITLTD,NIIT Limited,832253,,,,,,
369,ZENSARTECH,Zensar Technologies Limited,830046,,,,,,
370,ANURAS,Anupam Rasayan India Limited,826485,,,,,,
371,MAPMYINDIA,C.E. Info Systems Limited,804342,,,,,,
372,EIDPARRY,EID Parry India Limited,802585,,,,,,
373,ECLERX,eClerx Services Limited,802092,,,,,,
374,KNRCON,KNR Constructions Limited,799128,,,,,,
375,VMART,V-Mart Retail Limited,783323,,,,,,
376,SPARC,Sun Pharma Advanced Research Company Limited,782255,,,,,,
377,RBLBANK,RBL Bank Limited,780552,,,,,,
378,SONATSOFTW,Sonata Software Limited,777548,,,,,,
379,MGL,Mahanagar Gas Limited,769528,,,,,,
380,SYMPHONY,Symphony Limited,768058,,,,,,
381,INDIGOPNTS,Indigo Paints Limited,763887,,,,,,
382,POLYPLEX,Polyplex Corporation Limited,761236,,,,,,
383,GRANULES,Granules India Limited,760138,,,,,,
384,RENUKA,Shree Renuka Sugars Limited,757742,,,,,,
385,BEML,BEML Limited,757451,,,,,,
386,BORORENEW,BOROSIL RENEWABLES LIMITED,756387,,,,,,
387,TRIVENI,Triveni Engineering & Industries Limited,752221,,,,,,
388,TEAMLEASE,Teamlease Services Limited,741812,,,,,,
389,EASEMYTRIP,Easy Trip Planners Limited,740524,,,,,,
390,IBULHSGFIN,Indiabulls Housing Finance Limited,739406,,,,,,
391,PRIVISCL,Privi Speciality Chemicals Limited,732484,,,,,,
392,PRAJIND,Praj Industries Limited,731845,,,,,,
393,MRPL,Mangalore Refinery and Petrochemicals Limited,729081,,,,,,
394,SUNCLAYLTD,Sundaram Clayton Limited,723418,,,,,,
395,AEGISCHEM,Aegis Logistics Limited,721481,,,,,,
396,GREENPANEL,Greenpanel Industries Limited,717922,,,,,,
397,JUBLINGREA,Jubilant Ingrevia Limited,716526,,,,,,
398,SIS,SIS LIMITED,713174,,,,,,
399,PRINCEPIPE,Prince Pipes And Fittings Limited,701234,,,,,,
400,TATAINVEST,Tata Investment Corporation Limited,686325,,,,,,
401,RVNL,Rail Vikas Nigam Limited,681802,,,,,,
402,ORIENTELEC,Orient Electric Limited,681646,,,,,,
403,DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,676949,,,,,,
404,HOMEFIRST,Home First Finance Company India Limited,674298,,,,,,
405,SOBHA,Sobha Limited,671272,,,,,,
406,GMMPFAUDLR,GMM Pfaudler Limited,665908,,,,,,
407,PNCINFRA,PNC Infratech Limited,664821,,,,,,
408,PGHL,Procter & Gamble Health Limited,664374,,,,,,
409,MMTC,MMTC Limited,661500,,,,,,
410,LUXIND,Lux Industries Limited,658855,,,,,,
411,GUJALKALI,Gujarat Alkalies and Chemicals Limited,658473,,,,,,
412,TCIEXP,TCI Express Limited,656823,,,,,,
413,HUDCO,Housing & Urban Development Corporation Limited,655622,,,,,,
414,TRITURBINE,Triveni Turbine Limited,653562,,,,,,
415,NBCC,NBCC (India) Limited,653400,,,,,,
416,RAIN,Rain Industries Limited,652511,,,,,,
417,MAHINDCIE,Mahindra CIE Automotive Limited,651445,,,,,,
418,INDIACEM,The India Cements Limited,649235,,,,,,
419,INOXLEISUR,INOX Leisure Limited,648153,,,,,,
420,CERA,Cera Sanitaryware Limited,646711,,,,,,
421,GSFC,Gujarat State Fertilizers & Chemicals Limited,645733,,,,,,
422,JMFINANCIL,JM Financial Limited,644937,,,,,,
423,EQUITASBNK,Equitas Small Finance Bank Limited,639786,,,,,,
424,SUNTECK,Sunteck Realty Limited,639620,,,,,,
425,ASTRAZEN,AstraZeneca Pharma India Limited,637963,,,,,,
426,RTNINDIA,RattanIndia Enterprises Limited,637917,,,,,,
427,PNBHOUSING,PNB Housing Finance Limited,635364,,,,,,
428,RITES,RITES Limited,630792,,,,,,
429,PSB,Punjab & Sind Bank,626137,,,,,,
430,CHALET,Chalet Hotels Limited,619890,,,,,,
431,JUBLPHARMA,Jubilant Pharmova Limited,618250,,,,,,
432,VAIBHAVGBL,Vaibhav Global Limited,613178,,,,,,
433,EPL,EPL Limited,611636,,,,,,
434,MAHLIFE,Mahindra Lifespace Developers Limited,610632,,,,,,
435,KALYANKJIL,Kalyan Jewellers India Limited,605156,,,,,,
436,GMDCLTD,Gujarat Mineral Development Corporation Limited,603405,,,,,,
437,SWSOLAR,Sterling and Wilson Renewable Energy Limited,603320,,,,,,
438,BBTC,Bombay Burmah Trading Corporation Limited,600597,,,,,,
