Sr No,Symbol,Company Name,"Market capitalization as on March 31, 2022
(Rs in Lakhs)",,,,,,
890,SANGHIIND,Sanghi Industries Limited,110064,,,,,,
891,WELENT,Welspun Enterprises Limited,109342,,,,,,
892,ITDCEM,ITD Cementation India Limited,108398,,,,,,
893,TARC,TARC Limited,108005,,,,,,
894,CENTRUM,Centrum Capital Limited,107544,,,,,,
895,RUSHIL,Rushil Decor Limited,107488,,,,,,
896,BCLIND,Bcl Industries Limited,107480,,,,,,
897,PNBGILTS,PNB Gilts Limited,107286,,,,,,
898,TDPOWERSYS,TD Power Systems Limited,107198,,,,,,
899,DCW,DCW Limited,106631,,,,,,
900,MANGLMCEM,Mangalam Cement Limited,106580,,,,,,
901,MPSLTD,MPS Limited,106488,,,,,,
902,ALICON,Alicon Castalloy Limited,106483,,,,,,
903,GOKULAGRO,Gokul Agro Resources Limited,105373,,,,,,
904,CLNINDIA,Clariant Chemicals (India) Limited,105276,,,,,,
905,GNA,GNA Axles Limited,104719,,,,,,
906,TI,Tilaknagar Industries Limited,103961,,,,,,
907,ZEEMEDIA,Zee Media Corporation Limited,103821,,,,,,
908,PITTIENG,Pitti Engineering Limited,103426,,,,,,
909,QUICKHEAL,Quick Heal Technologies Limited,102967,,,,,,
910,TNPETRO,Tamilnadu PetroProducts Limited,102702,,,,,,
911,BFINVEST,BF Investment Limited,102531,,,,,,
912,MANGCHEFER,Mangalore Chemicals & Fertilizers Limited,102516,,,,,,
913,SATIA,Satia Industries Limited,102400,,,,,,
914,GEPIL,GE Power India Limited,102219,,,,,,
915,VISAKAIND,Visaka Industries Limited,101413,,,,,,
916,5PAISA,5Paisa Capital Limited,101401,,,,,,
917,VADILALIND,Vadilal Industries Limited,101334,,,,,,
918,WENDT,Wendt (India) Limited,101204,,,,,,
919,KPIGLOBAL,K.P.I. Global Infrastructure Limited,100453,,,,,,
920,MONTECARLO,Monte Carlo Fashions Limited,100364,,,,,,
921,PFS,PTC India Financial Services Limited,100196,,,,,,
922,UNIDT,United Drilling Tools Limited,99699,,,,,,
923,SHREDIGCEM,Shree Digvijay Cement Co.Ltd,99548,,,,,,
924,NAHARCAP,Nahar Capital and Financial Services Limited,99280,,,,,,
925,EMAMIPAP,Emami Paper Mills Limited,99067,,,,,,
926,BBL,Bharat Bijlee Limited,98450,,,,,,
927,CHEMCON,Chemcon Speciality Chemicals Limited,97676,,,,,,
928,BANCOINDIA,Banco Products (I) Limited,97373,,,,,,
929,PCJEWELLER,PC Jeweller Limited,97269,,,,,,
930,BHAGERIA,Bhageria Industries Limited,97152,,,,,,
931,ENIL,Entertainment Network (India) Limited,97105,,,,,,
932,RSWM,RSWM Limited,96417,,,,,,
933,INDNIPPON,India Nippon Electricals Limited,96130,,,,,,
934,TAJGVK,Taj GVK Hotels & Resorts Limited,95682,,,,,,
935,CEREBRAINT,Cerebra Integrated Technologies Limited,95374,,,,,,
936,IMPAL,India Motor Parts and Accessories Limited,94236,,,,,,
937,SAKSOFT,Saksoft Limited,94171,,,,,,
938,BAJAJHCARE,Bajaj Healthcare Limited,94000,,,,,,
939,SURYODAY,Suryoday Small Finance Bank Limited,93154,,,,,,
940,IFGLEXPOR,IFGL Refractories Limited,92963,,,,,,
941,UNIENTER,Uniphos Enterprises Limited,92809,,,,,,
942,ASAL,Automotive Stampings and Assemblies Limited,92696,,,,,,
943,RPGLIFE,RPG Life Sciences Limited,92693,,,,,,
944,VSSL,Vardhman Special Steels Limited,92520,,,,,,
945,PARAGMILK,Parag Milk Foods Limited,92276,,,,,,
946,PGIL,Pearl Global Industries Limited,92104,,,,,,
947,GREENPOWER,Orient Green Power Company Limited,91588,,,,,,
948,NSIL,Nalwa Sons Investments Limited,90902,,,,,,
949,URJA,Urja Global Limited,90899,,,,,,
950,FCONSUMER,Future Consumer Limited,90865,,,,,,
951,PANACEABIO,Panacea Biotec Limited,90774,,,,,,
952,DHARAMSI,The Dharamsi Morarji Chemical Company Limited,90607,,,,,,
953,HEXATRADEX,Hexa Tradex Limited,90380,,,,,,
954,NDL,Nandan Denim Limited,90380,,,,,,
955,JETAIRWAYS,Jet Airways (India) Limited,90367,,,,,,
956,XCHANGING,Xchanging Solutions Limited,90181,,,,,,
957,RADIOCITY,Music Broadcast Limited,89187,,,,,,
958,AGARIND,Agarwal Industrial Corporation Limited,89093,,,,,,
959,SIGACHI,Sigachi Industries Limited,88892,,,,,,
960,MBAPL,Madhya Bharat Agro Products Limited,88678,,,,,,
961,SMCGLOBAL,SMC Global Securities Limited,88528,,,,,,
962,FOSECOIND,Foseco India Limited,88389,,,,,,
963,DREDGECORP,Dredging Corporation of India Limited,88032,,,,,,
964,PRECWIRE,Precision Wires India Limited,87941,,,,,,
965,SPAL,S. P. Apparels Limited,87817,,,,,,
966,APEX,Apex Frozen Foods Limited,87063,,,,,,
967,ARVSMART,Arvind SmartSpaces Limited,86983,,,,,,
968,CREATIVE,Creative Newtech Limited,86760,,,,,,
969,GFLLIMITED,GFL Limited,86672,,,,,,
970,INDIANHUME,Indian Hume Pipe Company Limited,86430,,,,,,
971,SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited,86419,,,,,,
972,THEMISMED,Themis Medicare Limited,86216,,,,,,
973,3IINFOLTD,3i Infotech Limited,86034,,,,,,
974,ASALCBR,Associated Alcohols & Breweries Ltd.,85487,,,,,,
975,SHALPAINTS,Shalimar Paints Limited,84638,,,,,,
976,ADORWELD,Ador Welding Limited,84569,,,,,,
977,BHAGCHEM,Bhagiradha Chemicals & Industries Limited,84393,,,,,,
978,SHAKTIPUMP,Shakti Pumps (India) Limited,84392,,,,,,
979,ARMANFIN,Arman Financial Services Limited,84143,,,,,,
980,RANEHOLDIN,Rane Holdings Limited,84139,,,,,,
981,DPABHUSHAN,D. P. Abhushan Limited,83222,,,,,,
982,LUMAXIND,Lumax Industries Limited,82933,,,,,,
983,UTTAMSUGAR,Uttam Sugar Mills Limited,82855,,,,,,
984,ARIHANTCAP,Arihant Capital Markets Limited,82645,,,,,,
985,KRISHANA,Krishana Phoschem Limited,82381,,,,,,
986,JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,82144,,,,,,
987,SHREYAS,Shreyas Shipping & Logistics Limited,81967,,,,,,
988,RAMCOSYS,Ramco Systems Limited,81426,,,,,,
989,SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Limited,81275,,,,,,
990,KELLTONTEC,Kellton Tech Solutions Limited,81105,,,,,,
991,NCLIND,NCL Industries Limited,80401,,,,,,
992,DVL,Dhunseri Ventures Limited,80347,,,,,,
993,DCMSRIND,DCM Shriram Industries Limited,80076,,,,,,
994,BLISSGVS,Bliss GVS Pharma Limited,79936,,,,,,
995,OCCL,Oriental Carbon & Chemicals Limited,79721,,,,,,
996,MADRASFERT,Madras Fertilizers Limited,79665,,,,,,
997,SANGHVIMOV,Sanghvi Movers Limited,79563,,,,,,
998,ALLSEC,Allsec Technologies Limited,79514,,,,,,
999,SMSPHARMA,SMS Pharmaceuticals Limited,79150,,,,,,
1000,ONWARDTEC,Onward Technologies Limited,79121,,,,,,
1001,ANUP,The Anup Engineering Limited,78491,,,,,,
1002,MEDICAMEQ,Medicamen Biotech Limited,78290,,,,,,
1003,IWEL,Inox Wind Energy Limited,78004,,,,,,
1004,DECCANCE,Deccan Cements Limited,77812,,,,,,
1005,NAGAFERT,Nagarjuna Fertilizers and Chemicals Limited,77449,,,,,,
1006,HTMEDIA,HT Media Limited,77389,,,,,,
1007,UGARSUGAR,The Ugar Sugar Works Limited,77063,,,,,,
1008,MANORG,Mangalam Organics Limited,77016,,,,,,
1009,SATIN,Satin Creditcare Network Limited,76819,,,,,,
1010,SPECIALITY,Speciality Restaurants Limited,75860,,,,,,
1011,ARSHIYA,Arshiya Limited,75798,,,,,,
1012,ZOTA,Zota Health Care LImited,74877,,,,,,
1013,JAYAGROGN,Jayant Agro Organics Limited,74550,,,,,,
1014,AURIONPRO,Aurionpro Solutions Limited,74408,,,,,,
1015,CAPACITE,Capacit'e Infraprojects Limited,74341,,,,,,
1016,AWHCL,Antony Waste Handling Cell Limited,73575,,,,,,
1017,SEPC,SEPC Limited,73350,,,,,,
1018,RCOM,Reliance Communications Limited,73287,,,,,,
1019,ISMTLTD,ISMT Limited,73251,,,,,,
1020,ORIENTBELL,Orient Bell Limited,72999,,,,,,
1021,DEEPINDS,Deep Industries Limited,72992,,,,,,
1022,TEXINFRA,Texmaco Infrastructure & Holdings Limited,72952,,,,,,
1023,ORIENTPPR,Orient Paper & Industries Limited,72886,,,,,,
1024,SPENCERS,Spencer's Retail Limited,72427,,,,,,
1025,GOODLUCK,Goodluck India Limited,72258,,,,,,
1026,HPAL,HP Adhesives Limited,71920,,,,,,
1027,BALAJITELE,Balaji Telefilms Limited,71752,,,,,,
1028,SMLISUZU,SML Isuzu Limited,71707,,,,,,
1029,ROSSELLIND,Rossell India Limited,71613,,,,,,
1030,DIGISPICE,DiGiSPICE Technologies Limited,71012,,,,,,
1031,GICHSGFIN,GIC Housing Finance Limited,70518,,,,,,
1032,STEELCAS,Steelcast Limited,70516,,,,,,
1033,JUBLINDS,Jubilant Industries Limited,70218,,,,,,
1034,KUANTUM,Kuantum Papers Limited,70160,,,,,,
1035,VIMTALABS,Vimta Labs Limited,69894,,,,,,
1036,FLFL,Future Lifestyle Fashions Limited,69209,,,,,,
1037,JINDRILL,Jindal Drilling And Industries Limited,69207,,,,,,
1038,KICL,Kalyani Investment Company Limited,69081,,,,,,
1039,FCSSOFT,FCS Software Solutions Limited,67527,,,,,,
1040,YUKEN,Yuken India Limited,66720,,,,,,
1041,DYNPRO,Dynemic Products Limited,65813,,,,,,
1042,TCPLPACK,TCPL Packaging Limited,65679,,,,,,
1043,NAHARINDUS,Nahar Industrial Enterprises Limited,65628,,,,,,
1044,PARSVNATH,Parsvnath Developers Limited,65277,,,,,,
1045,SUMMITSEC,Summit Securities Limited,64904,,,,,,
1046,BIGBLOC,Bigbloc Construction Limited,64842,,,,,,
1047,EQUIPPP,Equippp Social Impact Technologies Limited,64486,,,,,,
1048,IFBAGRO,IFB Agro Industries Limited,64361,,,,,,
1049,GANESHBE,Ganesh Benzoplast Limited,63887,,,,,,
1050,RAJMET,Rajnandini Metal Limited,63323,,,,,,
1051,LINCOLN,Lincoln Pharmaceuticals Limited,62212,,,,,,
1052,KAMDHENU,Kamdhenu Limited,62208,,,,,,
1053,ADSL,Allied Digital Services Limited,62092,,,,,,
1054,VLSFINANCE,VLS Finance Limited,61705,,,,,,
1055,JAYBARMARU,Jay Bharat Maruti Limited,61399,,,,,,
1056,HCL-INSYS,HCL Infosystems Limited,61068,,,,,,
1057,JASH,Jash Engineering Limited,60943,,,,,,
1058,ARTEMISMED,Artemis Medicare Services Limited,60761,,,,,,
1059,SALASAR,Salasar Techno Engineering Limited,60670,,,,,,
1060,HLVLTD,HLV LIMITED,60322,,,,,,
1061,UNIVPHOTO,Universus Photo Imagings Limited,60108,,,,,,
1062,BLKASHYAP,B. L. Kashyap and Sons Limited,59854,,,,,,
1063,MONARCH,Monarch Networth Capital Limited,59770,,,,,,
1064,KANORICHEM,Kanoria Chemicals & Industries Limited,59729,,,,,,
1065,BGRENERGY,BGR Energy Systems Limited,59605,,,,,,
1066,KOKUYOCMLN,Kokuyo Camlin Limited,59229,,,,,,
1067,HITECH,Hi-Tech Pipes Limited,59189,,,,,,
1068,APCL,Anjani Portland Cement Limited,59004,,,,,,
1069,BINDALAGRO,Oswal Chemicals & Fertilizers Limited,58938,,,,,,
1070,CONTROLPR,Control Print Limited,58304,,,,,,
1071,STCINDIA,The State Trading Corporation of India Limited,58290,,,,,,
1072,CENTUM,Centum Electronics Limited,58271,,,,,,
1073,KBCGLOBAL,KBC Global Limited,58118,,,,,,
1074,THEINVEST,The Investment Trust Of India Limited,57703,,,,,,
1075,SWELECTES,Swelect Energy Systems Limited,57474,,,,,,
1076,LIKHITHA,Likhitha Infrastructure Limited,57094,,,,,,
1077,RML,Rane (Madras) Limited,57083,,,,,,
1078,AARTISURF,Aarti Surfactants Limited,56944,,,,,,
1079,AYMSYNTEX,AYM Syntex Limited,56373,,,,,,
1080,ZUARI,Zuari Agro Chemicals Limited,56337,,,,,,
1081,ASIANTILES,Asian Granito India Limited,56269,,,,,,
1082,TALBROAUTO,Talbros Automotive Components Limited,56173,,,,,,
1083,SVPGLOB,SVP GLOBAL TEXTILES LIMITED,56103,,,,,,
1084,INTLCONV,International Conveyors Limited,56059,,,,,,
1085,SKIPPER,Skipper Limited,55853,,,,,,
1086,SOUTHWEST,South West Pinnacle Exploration Limited,55121,,,,,,
1087,SHYAMCENT,Shyam Century Ferrous Limited,55099,,,,,,
1088,MANINDS,Man Industries (India) Limited,54648,,,,,,
1089,NBIFIN,N. B. I. Industrial Finance Company Limited,54536,,,,,,
1090,MARATHON,Marathon Nextgen Realty Limited,54372,,,,,,
1091,BETA,Beta Drugs Limited,54366,,,,,,
1092,TFCILTD,Tourism Finance Corporation of India Limited,54314,,,,,,
1093,SUULD,Suumaya Industries Limited,54115,,,,,,
1094,ARIHANTSUP,Arihant Superstructures Limited,54022,,,,,,
1095,NECLIFE,Nectar Lifesciences Limited,53935,,,,,,
1096,RUBYMILLS,The Ruby Mills Limited,53914,,,,,,
1097,MGEL,Mangalam Global Enterprise Limited,53546,,,,,,
1098,INDRAMEDCO,Indraprastha Medical Corporation Limited,53537,,,,,,
1099,KRITI,Kriti Industries (India) Limited,52977,,,,,,
1100,RAMASTEEL,Rama Steel Tubes Limited,52448,,,,,,
1101,UNITECH,Unitech Limited,52326,,,,,,
1102,ZUARIGLOB,Zuari Global Limited,52213,,,,,,
1103,DELPHIFX,DELPHI WORLD MONEY LIMITED,52145,,,,,,
1104,EXXARO,Exxaro Tiles Limited,51944,,,,,,
1105,MAWANASUG,Mawana Sugars Limited,51908,,,,,,
1106,CREST,Crest Ventures Limited,51907,,,,,,
1107,PLASTIBLEN,Plastiblends India Limited,51511,,,,,,
1108,NELCAST,Nelcast Limited,51331,,,,,,
1109,BBTCL,B&B Triplewall Containers Limited,51278,,,,,,
1110,SNOWMAN,Snowman Logistics Limited,51045,,,,,,
1111,VASCONEQ,Vascon Engineers Limited,50635,,,,,,
1112,KOTHARIPET,Kothari Petrochemicals Limited,50608,,,,,,
1113,CLSEL,Chaman Lal Setia Exports Limited,50518,,,,,,
1114,V2RETAIL,V2 Retail Limited,50380,,,,,,
1115,REPRO,Repro India Limited,50354,,,,,,
1116,BASML,Bannari Amman Spinning Mills Limited,50155,,,,,,
1117,MMP,MMP Industries Limited,50145,,,,,,
1118,MENONBE,Menon Bearings Limited,49792,,,,,,
1119,DLINKINDIA,D-Link (India) Limited,49618,,,,,,
1120,SANDESH,The Sandesh Limited,49500,,,,,,
1121,YAARI,Yaari Digital Integrated Services Limited,49442,,,,,,
1122,ORICONENT,Oricon Enterprises Limited,49313,,,,,,
1123,VIKASLIFE,Vikas Lifecare Limited,49231,,,,,,
1124,VIKASLIFE,Vikas Lifecare Limited,49231,,,,,,
1125,PENIND,Pennar Industries Limited,49117,,,,,,
1126,GALLANTT,Gallantt Metal Limited,48997,,,,,,
1127,STERTOOLS,Sterling Tools Limited,48867,,,,,,
1128,JAIBALAJI,Jai Balaji Industries Limited,48433,,,,,,
1129,MANAKSIA,Manaksia Limited,48364,,,,,,
1130,VINYLINDIA,Vinyl Chemicals (India) Limited,48126,,,,,,
1131,CYBERTECH,Cybertech Systems And Software Limited,48037,,,,,,
1132,NAVKARCORP,Navkar Corporation Limited,47940,,,,,,
1133,AXISCADES,AXISCADES Technologies Limited,47866,,,,,,
1134,TVSELECT,TVS Electronics Limited,47698,,,,,,
1135,GOACARBON,Goa Carbon Limited,47682,,,,,,
1136,RBL,Rane Brake Lining Limited,47311,,,,,,
1137,SARLAPOLY,Sarla Performance Fibers Limited,47304,,,,,,
1138,MALLCOM,Mallcom (India) Limited,47243,,,,,,
1139,BIRLACABLE,Birla Cable Limited,47010,,,,,,
1140,INNOVANA,Innovana Thinklabs Limited,46638,,,,,,
1141,INDOBORAX,Indo Borax & Chemicals Limited,46017,,,,,,
1142,SREEL,Sreeleathers Limited,45789,,,,,,
1143,WINDLAS,Windlas Biotech Limited,45779,,,,,,
1144,KAYA,Kaya Limited,45764,,,,,,
1145,TBZ,Tribhovandas Bhimji Zaveri Limited,45577,,,,,,
1146,SADBHAV,Sadbhav Engineering Limited,45380,,,,,,
1147,NRAIL,N R Agarwal Industries Limited,45322,,,,,,
1148,GANDHITUBE,Gandhi Special Tubes Limited,45196,,,,,,
1149,HMVL,Hindustan Media Ventures Limited,45161,,,,,,
1150,SEJALLTD,Sejal Glass Limited,45001,,,,,,
1151,CONSOFINVT,Consolidated Finvest & Holdings Limited,44869,,,,,,
1152,HERCULES,Hercules Hoists Limited,44560,,,,,,
1153,MAGADSUGAR,Magadh Sugar & Energy Limited,44375,,,,,,
1154,DPWIRES,D P Wires Limited,44333,,,,,,
1155,UNIVCABLES,Universal Cables Limited,44226,,,,,,
1156,RANASUG,Rana Sugars Limited,44151,,,,,,
1157,MIRCELECTR,MIRC Electronics Limited,43996,,,,,,
1158,PTL,PTL Enterprises Limited,43949,,,,,,
1159,DUCON,Ducon Infratechnologies Limited,43706,,,,,,
1160,TRIL,Transformers And Rectifiers (India) Limited,43680,,,,,,
1161,SDBL,Som Distilleries & Breweries Limited,43672,,,,,,
1162,GAYAPROJ,Gayatri Projects Limited,43524,,,,,,
1163,ASIANENE,Asian Energy Services Limited,43519,,,,,,
1164,DCMNVL,DCM Nouvelle Limited,43482,,,,,,
1165,VISESHINFO,Visesh Infotecnics Limited,43406,,,,,,
1166,VARDHACRLC,Vardhman Acrylics Limited,43196,,,,,,
1167,BHARATWIRE,Bharat Wire Ropes Limited,43167,,,,,,
1168,ANDHRACEMT,Andhra Cements Limited,43001,,,,,,
1169,TAKE,Take Solutions Limited,42901,,,,,,
1170,MUTHOOTCAP,Muthoot Capital Services Limited,42829,,,,,,
1171,RICOAUTO,Rico Auto Industries Limited,42818,,,,,,
1172,ADVANIHOTR,Advani Hotels & Resorts (India) Limited,42198,,,,,,
1173,FOODSIN,Foods & Inns Limited,42133,,,,,,
1174,RELCAPITAL,Reliance Capital Limited,42076,,,,,,
1175,KSOLVES,Ksolves India Limited,42035,,,,,,
1176,TRIGYN,Trigyn Technologies Limited,41407,,,,,,
1177,LINC,Linc Limited,41263,,,,,,
1178,MSPL,MSP Steel & Power Limited,41239,,,,,,
1179,BSHSL,Bombay Super Hybrid Seeds Limited,41209,,,,,,
1180,HPL,HPL Electric & Power Limited,41152,,,,,,
1181,COASTCORP,Coastal Corporation Limited,40966,,,,,,
1182,MUNJALAU,Munjal Auto Industries Limited,40900,,,,,,
1183,NATHBIOGEN,Nath Bio-Genes (India) Limited,40545,,,,,,
1184,ZEELEARN,Zee Learn Limited,40435,,,,,,
1185,XELPMOC,Xelpmoc Design And Tech Limited,40354,,,,,,
1186,HITECHGEAR,The Hi-Tech Gears Limited,40323,,,,,,
1187,GODHA,Godha Cabcon & Insulation Limited,39974,,,,,,
1188,KHADIM,Khadim India Limited,39857,,,,,,
1189,OMINFRAL,OM INFRA LIMITED,39822,,,,,,
1190,MAXIND,Max India Limited,39640,,,,,,
1191,INDOTHAI,Indo Thai Securities Limited,39635,,,,,,
1192,INDSWFTLAB,Ind-Swift Laboratories Limited,39381,,,,,,
1193,MUNJALSHOW,Munjal Showa Limited,39175,,,,,,
1194,HITECHCORP,Hitech Corporation Limited,39169,,,,,,
1195,CEBBCO,Commercial Engineers & Body Builders Co Limited,39059,,,,,,
1196,HINDCOMPOS,Hindustan Composites Limited,39012,,,,,,
1197,LYKALABS,Lyka Labs Limited,38846,,,,,,
1198,UFO,UFO Moviez India Limited,38658,,,,,,
1199,KNAGRI,KN Agri Resources Limited,38211,,,,,,
1200,JPINFRATEC,Jaypee Infratech Limited,38196,,,,,,
1201,KOTHARIPRO,Kothari Products Limited,38155,,,,,,
1202,DHUNINV,Dhunseri Investments Limited,38123,,,,,,
1203,VISHWARAJ,Vishwaraj Sugar Industries Limited,38025,,,,,,
1204,PRECOT,Precot Limited,37956,,,,,,
1205,MEGASOFT,Megasoft Limited,37955,,,,,,
1206,MARINE,Marine Electricals (India) Limited,37842,,,,,,
1207,GINNIFILA,Ginni Filaments Limited,37258,,,,,,
1208,REPL,Rudrabhishek Enterprises Limited,37156,,,,,,
1209,PPL,Prakash Pipes Limited,37073,,,,,,
1210,PDMJEPAPER,Pudumjee Paper Products Limited,36888,,,,,,
1211,SHEMAROO,Shemaroo Entertainment Limited,36805,,,,,,
1212,SHIVAMAUTO,Shivam Autotech Limited,36544,,,,,,
1213,OSWALAGRO,Oswal Agro Mills Limited,36378,,,,,,
1214,BANSWRAS,Banswara Syntex Limited,36303,,,,,,
1215,PRAXIS,Praxis Home Retail Limited,36261,,,,,,
1216,ACCURACY,Accuracy Shipping Limited,36210,,,,,,
1217,VENUSREM,Venus Remedies Limited,36131,,,,,,
1218,GENUSPAPER,Genus Paper & Boards Limited,35741,,,,,,
1219,GSCLCEMENT,Gujarat Sidhee Cement Limited,35598,,,,,,
1220,ATULAUTO,Atul Auto Limited,35427,,,,,,
1221,ORIENTABRA,Orient Abrasives Limited,35413,,,,,,
1222,CLEDUCATE,CL Educate Limited,35400,,,,,,
1223,CHEMFAB,Chemfab Alkalis Limited,35384,,,,,,
1224,MEP,MEP Infrastructure Developers Limited,35313,,,,,,
1225,SILINV,SIL Investments Limited,35168,,,,,,
1226,BALAXI,BALAXI PHARMACEUTICALS LIMITED,35160,,,,,,
1227,NRL,Nupur Recyclers Limited,34949,,,,,,
1228,HDIL,Housing Development and Infrastructure Limited,34839,,,,,,
1229,SPTL,Sintex Plastics Technology Limited,34670,,,,,,
1230,PASUPTAC,Pasupati Acrylon Limited,34539,,,,,,
1231,WEBELSOLAR,Websol Energy System Limited,34497,,,,,,
1232,ASAHISONG,Asahi Songwon Colors Limited,34314,,,,,,
1233,AURUM,Aurum PropTech Limited,34227,,,,,,
1234,DIL,Debock Industries Limited,34133,,,,,,
1235,VIKASECO,Vikas EcoTech Limited,34120,,,,,,
1236,MARALOVER,Maral Overseas Limited,34078,,,,,,
1237,SCHAND,S Chand And Company Limited,33939,,,,,,
1238,BIRLAMONEY,Aditya Birla Money Limited,33938,,,,,,
1239,PREMEXPLN,Premier Explosives Limited,33687,,,,,,
1240,HUBTOWN,Hubtown Limited,33677,,,,,,
1241,ORBTEXP,Orbit Exports Limited,33613,,,,,,
1242,ROHLTD,Royal Orchid Hotels Limited,33349,,,,,,
1243,MINDTECK,Mindteck (India) Limited,33171,,,,,,
1244,DANGEE,Dangee Dums Limited,32817,,,,,,
1245,PROZONINTU,Prozone Intu Properties Limited,32581,,,,,,
1246,IRISDOREME,Iris Clothings Limited,32196,,,,,,
1247,GKWLIMITED,GKW Limited,32171,,,,,,
1248,SADBHIN,Sadbhav Infrastructure Project Limited,31700,,,,,,
1249,CUPID,Cupid Limited,31598,,,,,,
1250,DICIND,DIC India Limited,31493,,,,,,
1251,GOKUL,Gokul Refoils and Solvent Limited,31480,,,,,,
1252,PODDARMENT,Poddar Pigments Limited,31480,,,,,,
1253,PENINLAND,Peninsula Land Limited,31410,,,,,,
1254,GEECEE,GeeCee Ventures Limited,31389,,,,,,
1255,DHANBANK,Dhanlaxmi Bank Limited,31373,,,,,,
1256,ROHITFERRO,Rohit Ferro-Tech Limited,31118,,,,,,
1257,KREBSBIO,Krebs Biochemicals and Industries Limited,30842,,,,,,
1258,MAHESHWARI,Maheshwari Logistics Limited,30825,,,,,,
1259,BPL,BPL Limited,30626,,,,,,
1260,HIRECT,Hind Rectifiers Limited,30626,,,,,,
1261,BIL,Bhartiya International Limited,30567,,,,,,
1262,ALBERTDAVD,Albert David Limited,30288,,,,,,
1263,JPOLYINVST,Jindal Poly Investment and Finance Company Limited,30248,,,,,,
1264,INVENTURE,Inventure Growth & Securities Limited,30240,,,,,,
1265,CINELINE,Cineline India Limited,30083,,,,,,
1266,BAFNAPH,Bafna Pharmaceuticals Limited,29961,,,,,,
1267,EMKAYTOOLS,Emkay Taps and Cutting Tools Limited,29880,,,,,,
1268,EROSMEDIA,Eros International Media Limited,29820,,,,,,
1269,BIRLATYRE,Birla Tyres Limited,29801,,,,,,
1270,NGIL,Nakoda Group of Industries Limited,29799,,,,,,
1271,KOTARISUG,Kothari Sugars And Chemicals Limited,29467,,,,,,
1272,SALZERELEC,Salzer Electronics Limited,29456,,,,,,
1273,NIPPOBATRY,Indo-National Limited,29273,,,,,,
1274,PENTAGOLD,Penta Gold Limited,29268,,,,,,
1275,KOTYARK,Kotyark Industries Limited,29119,,,,,,
1276,RUCHIRA,Ruchira Papers Limited,29023,,,,,,
1277,WEALTH,Wealth First Portfolio Managers Limited,29003,,,,,,
1278,EIFFL,Euro India Fresh Foods Limited,28991,,,,,,
1279,SELAN,Selan Exploration Technology Limited,28850,,,,,,
1280,AKSHARCHEM,AksharChem India Limited,28619,,,,,,
1281,PRIMESECU,Prime Securities Limited,28495,,,,,,
1282,MANAKSTEEL,Manaksia Steels Limited,28442,,,,,,
1283,KCPSUGIND,KCP Sugar and Industries Corporation Limited,28403,,,,,,
1284,SRPL,Shree Ram Proteins Limited,28049,,,,,,
1285,ISFT,Intrasoft Technologies Limited,27806,,,,,,
1286,WANBURY,Wanbury Limited,27619,,,,,,
1287,SAKUMA,Sakuma Exports Limited,27561,,,,,,
1288,DONEAR,Donear Industries Limited,27482,,,,,,
1289,DTIL,Dhunseri Tea & Industries Limited,27466,,,,,,
1290,SIMPLEXINF,Simplex Infrastructures Limited,27257,,,,,,
1291,AHLEAST,Asian Hotels (East) Limited,27171,,,,,,
1292,EUROBOND,Euro Panel Products Limited,27146,,,,,,
1293,ASHIMASYN,Ashima Limited,27120,,,,,,
1294,ABAN,Aban Offshore Limited,26936,,,,,,
1295,JINDALPHOT,Jindal Photo Limited,26918,,,,,,
1296,KMSUGAR,K.M.Sugar Mills Limited,26910,,,,,,
1297,JAYSREETEA,Jayshree Tea & Industries Limited,26625,,,,,,
1298,PPAP,PPAP Automotive Limited,26621,,,,,,
1299,FEL,Future Enterprises Limited,26613,,,,,,
1300,GOLDTECH,Goldstone Technologies Limited,26594,,,,,,
1301,SHIVATEX,Shiva Texyarn Limited,26405,,,,,,
1302,SECURKLOUD,SECUREKLOUD TECHNOLOGIES LIMITED,26331,,,,,,
1303,KILITCH,Kilitch Drugs (India) Limited,26077,,,,,,
1304,20MICRONS,20 Microns Limited,26059,,,,,,
1305,KANPRPLA,Kanpur Plastipack Limited,25999,,,,,,
1306,SILVERTUC,Silver Touch Technologies Limited,25768,,,,,,
1307,EMKAY,Emkay Global Financial Services Limited,25749,,,,,,
1308,LGBFORGE,LGB Forge Limited,25726,,,,,,
1309,SREINFRA,SREI Infrastructure Finance Limited,25657,,,,,,
1310,WINDMACHIN,Windsor Machines Limited,25583,,,,,,
1311,ALMONDZ,Almondz Global Securities Limited,25419,,,,,,
1312,MBLINFRA,MBL Infrastructures Limited,25403,,,,,,
1313,JITFINFRA,JITF Infralogistics Limited,25395,,,,,,
1314,MAHEPC,Mahindra EPC Irrigation Limited,25264,,,,,,
1315,SGIL,Synergy Green Industries Limited,25250,,,,,,
1316,HINDMOTORS,Hindustan Motors Limited,25248,,,,,,
1317,AAKASH,Aakash Exploration Services Limited,25161,,,,,,
1318,RAMANEWS,Shree Rama Newsprint Limited,25153,,,,,,
1319,REFEX,Refex Industries Limited,25055,,,,,,
1320,LIBERTSHOE,Liberty Shoes Limited,24947,,,,,,
1321,ZODIACLOTH,Zodiac Clothing Company Limited,24859,,,,,,
1322,SITINET,Siti Networks Limited,24854,,,,,,
